Datetime,Upstream,Downstream,Body,Actuator,Hyperbaric,Backseat,Spring Chamber,Primary Stem Seal,Secondary Stem Seal,Relief Port,BX Port,Flow Meter,Mass Spectrometer Mantissa,Mass Spectrometer,LVDT,Torque,Number Of Turns,Motor Speed,Ambient Temperature,Body Temperature,Monitor Temperature,Chamber Temperature,Hyperbaric Water Temperature,Close,Open,Cycle Count
01/10/2025 16:24:25.548,-1961590,-1961664,-1960496,-1960256,-1960274,-1959472,-1959958,-1960584,-1960246,-1960178,-1959493,-1953028,0,17,63,-213,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.558,-1961589,-1961663,-1960495,-1960256,-1960274,-1959471,-1959959,-1960585,-1960245,-1960178,-1959493,-1953058,0,0,58,-232,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.568,-1961589,-1961662,-1960494,-1960256,-1960274,-1959472,-1959960,-1960586,-1960245,-1960177,-1959492,-1953049,0,17,58,-221,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.578,-1961588,-1961662,-1960493,-1960256,-1960275,-1959472,-1959962,-1960586,-1960245,-1960178,-1959492,-1953016,0,4,35,-234,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.588,-1961588,-1961661,-1960493,-1960256,-1960275,-1959472,-1959963,-1960586,-1960245,-1960178,-1959491,-1953023,0,0,43,-234,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.598,-1961587,-1961660,-1960493,-1960257,-1960274,-1959472,-1959963,-1960587,-1960246,-1960179,-1959492,-1953049,0,12,77,-208,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.608,-1961587,-1961660,-1960493,-1960257,-1960273,-1959472,-1959963,-1960587,-1960246,-1960179,-1959492,-1953064,0,8,62,-208,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.618,-1961589,-1961661,-1960494,-1960257,-1960272,-1959471,-1959963,-1960586,-1960246,-1960179,-1959491,-1953075,0,10,58,-212,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.628,-1961590,-1961661,-1960494,-1960257,-1960272,-1959472,-1959962,-1960585,-1960246,-1960179,-1959491,-1953092,0,0,45,-212,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.638,-1961590,-1961663,-1960495,-1960256,-1960271,-1959472,-1959961,-1960584,-1960246,-1960180,-1959491,-1953042,0,0,39,-206,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.648,-1961591,-1961663,-1960495,-1960256,-1960271,-1959473,-1959960,-1960583,-1960245,-1960180,-1959492,-1953001,0,0,63,-225,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.658,-1961591,-1961664,-1960495,-1960256,-1960271,-1959473,-1959959,-1960583,-1960245,-1960179,-1959493,-1953020,0,0,72,-239,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
